Data;Hora;Cota;Estacao
17/12/2021;07:00;855;13600002
17/12/2021;07:00;829;15250000
17/12/2021;17:00;888;13600002
18/12/2021;07:00;904;13600002
18/12/2021;07:00;833;15250000
18/12/2021;17:00;925;13600002
19/12/2021;07:00;958;13600002
19/12/2021;07:00;837;15250000
19/12/2021;17:00;964;13600002
20/12/2021;07:00;976;13600002
20/12/2021;07:00;842;15250000
20/12/2021;17:00;1009;13600002
21/12/2021;07:00;1030;13600002
21/12/2021;07:00;850;15250000
21/12/2021;17:00;1062,5;13600002
22/12/2021;07:00;1095;13600002
22/12/2021;07:00;861;15250000
22/12/2021;17:00;1115;13600002
23/12/2021;07:00;1102;13600002
23/12/2021;07:00;870;15250000
23/12/2021;17:00;1093;13600002
24/12/2021;07:00;1095;13600002
24/12/2021;07:00;878;15250000
25/12/2021;06:00;1102;13600002
25/12/2021;07:00;886;15250000
26/12/2021;06:00;1042;13600002
26/12/2021;07:00;890;15250000
27/12/2021;06:00;968;13600002
27/12/2021;07:00;895;15250000
28/12/2021;07:00;878;13600002
28/12/2021;07:00;900;15250000
28/12/2021;17:00;858;13600002
29/12/2021;07:00;838;13600002
29/12/2021;07:00;904;15250000
30/12/2021;07:00;924;13600002
